City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
Geraldton,AU,2020-04-20 04:39:08,-28.77,114.6,75.0,46,75,13.87,broken clouds,0.0,0.0
Torbay,CA,2020-04-20 04:40:44,47.67,-52.73,35.6,100,90,24.16,light intensity drizzle,0.0,0.0
Pindiga,NG,2020-04-20 04:44:14,9.98,10.93,77.02,59,56,12.8,broken clouds,0.0,0.0
Upernavik,GL,2020-04-20 04:37:27,72.79,-56.15,17.92,95,46,18.54,light snow,0.0,0.4
Wattegama,LK,2020-04-20 04:41:29,6.8,81.48,89.6,79,20,13.87,few clouds,0.0,0.0
Turayf,SA,2020-04-20 04:34:29,31.67,38.66,59.0,62,0,4.7,clear sky,0.0,0.0
Hermanus,ZA,2020-04-20 04:36:43,-34.42,19.23,60.01,78,11,11.99,few clouds,0.0,0.0
Cidreira,BR,2020-04-20 04:41:40,-30.18,-50.21,65.88,86,0,14.16,clear sky,0.0,0.0
Ponta Do Sol,PT,2020-04-20 04:33:00,32.67,-17.1,62.01,76,17,8.99,light rain,0.17,0.0
Tazovskiy,RU,2020-04-20 04:35:44,67.47,78.7,35.17,95,90,10.96,overcast clouds,0.0,0.0
Chuy,UY,2020-04-20 04:37:10,-33.7,-53.46,63.68,85,0,9.28,clear sky,0.0,0.0
Necochea,AR,2020-04-20 04:38:21,-38.55,-58.74,57.74,79,95,6.4,overcast clouds,0.0,0.0
Krasnoarmeysk,RU,2020-04-20 04:44:22,51.02,45.7,45.55,67,52,7.52,broken clouds,0.0,0.0
Akhtubinsk,RU,2020-04-20 04:44:23,48.28,46.17,56.88,51,73,12.53,broken clouds,0.0,0.0
Timra,SE,2020-04-20 04:44:24,62.49,17.33,42.01,73,64,3.36,broken clouds,0.0,0.0
Taoudenni,ML,2020-04-20 04:38:47,22.68,-3.98,72.91,27,0,5.91,clear sky,0.0,0.0
Amboasary,MG,2020-04-20 04:44:25,-25.03,46.38,71.6,94,40,9.17,scattered clouds,0.0,0.0
Alboraya,ES,2020-04-20 04:44:26,39.5,-0.35,57.99,100,20,2.24,few clouds,0.0,0.0
Hithadhoo,MV,2020-04-20 04:37:13,-0.6,73.08,85.08,74,88,11.41,overcast clouds,0.0,0.0
Ushuaia,AR,2020-04-20 04:31:44,-54.8,-68.3,39.2,86,90,25.28,shower rain,0.0,0.0
Salalah,OM,2020-04-20 04:36:12,17.02,54.09,82.4,69,20,4.7,few clouds,0.0,0.0
San Luis,AR,2020-04-20 04:43:16,-33.3,-66.34,59.9,53,0,4.14,clear sky,0.0,0.0
Iaciara,BR,2020-04-20 04:44:31,-14.1,-46.63,68.13,80,25,2.73,scattered clouds,0.0,0.0
Aguimes,ES,2020-04-20 04:44:32,27.91,-15.45,64.4,68,20,11.41,few clouds,0.0,0.0
Qaanaaq,GL,2020-04-20 04:37:07,77.48,-69.36,14.59,82,62,10.51,broken clouds,0.0,0.0
Itarema,BR,2020-04-20 04:42:06,-2.92,-39.92,76.3,88,13,3.27,few clouds,0.0,0.0
Cockburn Town,TC,2020-04-20 04:41:44,21.46,-71.14,79.09,82,38,18.48,scattered clouds,0.0,0.0
Bafang,CM,2020-04-20 04:44:35,5.16,10.18,64.62,71,100,1.54,light rain,0.22,0.0
Belyy Yar,RU,2020-04-20 04:44:36,53.6,91.39,57.2,24,34,2.24,scattered clouds,0.0,0.0
Port Elizabeth,ZA,2020-04-20 04:32:05,-33.92,25.57,69.8,49,0,12.75,clear sky,0.0,0.0
Clyde River,CA,2020-04-20 04:38:45,70.47,-68.59,-11.2,69,1,4.7,clear sky,0.0,0.0
Mahebourg,MU,2020-04-20 04:40:49,-20.41,57.7,75.2,88,40,11.41,shower rain,0.0,0.0
Bredasdorp,ZA,2020-04-20 04:36:37,-34.53,20.04,57.2,87,0,2.24,clear sky,0.0,0.0
East London,ZA,2020-04-20 04:37:20,-33.02,27.91,84.2,45,0,11.41,clear sky,0.0,0.0
