City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Chokurdakh,RU,2020-04-16 07:06:13,70.63,147.92,3.65,93,100,9.28
120,Souillac,MU,2020-04-16 07:06:14,-20.52,57.52,82.4,65,75,16.11
121,Cairns,AU,2020-04-16 07:06:14,-16.92,145.77,81.0,78,75,6.93
122,Diffa,NE,2020-04-16 07:06:14,13.32,12.61,79.41,21,0,11.36
123,Bereda,ES,2020-04-16 07:06:15,43.27,-7.54,54.0,87,76,2.24
124,Tiksi,RU,2020-04-16 07:06:15,71.69,128.87,0.7,91,100,11.34
125,Korla,CN,2020-04-16 07:06:16,41.76,86.15,69.71,22,100,0.38
126,Buraydah,SA,2020-04-16 07:06:18,26.33,43.98,69.8,40,0,6.93
127,Champerico,GT,2020-04-16 07:06:19,14.3,-91.92,82.51,75,50,4.34
128,Waddan,LY,2020-04-16 07:06:27,29.16,16.14,74.77,33,92,7.72
129,Yellowknife,CA,2020-04-16 07:06:28,62.46,-114.35,15.8,92,20,10.29
130,Sioux Lookout,CA,2020-04-16 07:06:28,50.1,-91.92,24.8,58,75,13.87
131,Sur,OM,2020-04-16 07:06:29,22.57,59.53,86.25,40,99,4.18
132,Ponta Delgada,PT,2020-04-16 07:03:28,37.73,-25.67,53.6,76,75,14.99
133,Geraldton,AU,2020-04-16 07:06:29,-28.77,114.6,78.8,44,52,17.22
134,Bageshwar,IN,2020-04-16 07:06:29,29.85,79.77,88.47,12,25,3.96
135,Puerto Ayora,EC,2020-04-16 07:06:30,-0.74,-90.35,80.01,86,73,4.0
136,Tieli,CN,2020-04-16 07:02:26,46.95,128.05,61.41,25,100,4.14
137,Santo Tomas,PH,2020-04-16 07:06:30,14.11,121.14,95.0,47,20,4.7
138,Ushtobe,KZ,2020-04-16 07:06:31,45.25,77.98,55.56,32,80,20.27
139,Strezhevoy,RU,2020-04-16 07:06:31,60.73,77.59,37.4,93,90,4.47
140,Keroka,KE,2020-04-16 07:06:31,-0.78,34.95,62.85,50,93,3.49
141,Douentza,ML,2020-04-16 07:06:31,15.0,-2.95,78.3,44,88,6.33
142,Karpathos,GR,2020-04-16 07:03:04,35.51,27.21,59.0,72,75,31.09
143,Illapel,CL,2020-04-16 07:06:32,-31.63,-71.17,57.4,60,97,0.96
144,Leningradskiy,RU,2020-04-16 07:06:32,69.38,178.42,19.06,96,100,6.31
145,Dongsheng,CN,2020-04-16 07:06:33,39.82,109.98,50.0,25,0,27.34
146,Fukue,JP,2020-04-16 07:06:35,32.69,128.84,66.2,42,75,10.29
147,General Roca,AR,2020-04-16 07:06:36,-39.03,-67.58,55.4,82,93,8.39
148,Nanortalik,GL,2020-04-16 07:06:36,60.14,-45.24,32.85,96,100,5.55
149,Hilo,US,2020-04-16 07:06:36,19.73,-155.09,73.4,78,20,3.36
150,Honiara,SB,2020-04-16 07:06:36,-9.43,159.95,86.0,74,75,4.7
151,Lagoa,PT,2020-04-16 07:03:04,39.05,-27.98,57.52,70,44,21.39
152,Carnarvon,AU,2020-04-16 07:06:38,-24.87,113.63,84.2,58,66,18.34
153,Manta,EC,2020-04-16 07:06:38,-0.95,-80.73,77.0,88,76,2.24
154,Volnovakha,UA,2020-04-16 07:04:34,47.6,37.5,48.0,100,36,11.01
155,Port Hardy,CA,2020-04-16 07:02:50,50.7,-127.42,42.8,100,40,4.7
156,Muros,ES,2020-04-16 07:06:39,42.78,-9.06,57.99,87,40,5.82
157,Kashi,CN,2020-04-16 07:06:40,39.45,75.98,73.4,16,49,8.95
158,Umm Kaddadah,SD,2020-04-16 07:06:41,13.6,26.69,74.41,11,0,20.31
159,Kyren,RU,2020-04-16 07:06:41,51.68,102.14,56.34,24,0,4.63
160,Dakar,SN,2020-04-16 07:02:52,14.69,-17.44,69.8,88,38,16.11
161,Aitape,PG,2020-04-16 07:06:41,-3.14,142.35,84.31,73,61,5.88
162,Karpogory,RU,2020-04-16 07:06:42,64.0,44.45,35.53,83,100,14.18
163,Makakilo City,US,2020-04-16 07:06:42,21.35,-158.09,78.8,83,20,3.36
164,Dingle,PH,2020-04-16 07:06:42,11.0,122.67,90.63,53,61,12.53
165,Morondava,MG,2020-04-16 07:06:43,-20.28,44.28,83.52,61,0,5.59
166,Santiago Del Estero,AR,2020-04-16 07:06:43,-27.8,-64.26,59.74,54,20,7.23
167,Denizli,TR,2020-04-16 07:06:43,37.84,29.07,48.2,81,75,2.24
168,Gornopravdinsk,RU,2020-04-16 07:06:44,60.05,69.9,45.86,68,0,4.07
169,Longyearbyen,SJ,2020-04-16 07:06:45,78.22,15.64,37.4,64,75,16.11
170,Kutum,SD,2020-04-16 07:06:45,14.2,24.67,67.1,12,0,9.86
171,Flinders,AU,2020-04-16 07:05:34,-34.58,150.86,84.2,30,100,17.22
172,Luderitz,NA,2020-04-16 07:05:59,-26.65,15.16,55.4,76,1,11.41
173,Banda Aceh,ID,2020-04-16 07:06:36,5.56,95.32,86.94,65,20,4.45
174,Ahipara,NZ,2020-04-16 07:06:46,-35.17,173.17,63.93,78,53,18.1
